county,candidate,votes,fips
Fayette,Donald J. Trump,7755,18041
Fayette,Howie Hawkins,0,18041
Fayette,James L Johnson Jr.,0,18041
Fayette,Jo Jorgensen,144,18041
Fayette,Joe Schriner,0,18041
Fayette,Joseph R. Biden,2237,18041
Fayette,Kasey Wells,0,18041
Fayette,Mitchell Williams,0,18041
Fayette,Randall F,0,18041
Fayette,Shawn Howard,0,18041
Fayette,Valerie Mccray,0,18041
Floyd,Abram Loeb,0,18043
Floyd,Brian Carroll,15,18043
Floyd,Christopher Stried,0,18043
Floyd,Deborah Rouse,0,18043
Floyd,Donald J. Trump,23400,18043
Floyd,Howie Hawkins,24,18043
Floyd,James L Johnson Jr.,0,18043
Floyd,Jo Jorgensen,850,18043
Floyd,Joe Schriner,0,18043
Floyd,Joseph R. Biden,17511,18043
Floyd,Kasey Wells,0,18043
Floyd,Mitchell Williams,0,18043
Floyd,Randall F,0,18043
Floyd,Shawn Howard,2,18043
Floyd,Valerie Mccray,0,18043
Fountain,Abram Loeb,0,18045
Fountain,Brian Carroll,1,18045
Fountain,Christopher Stried,0,18045
Fountain,Deborah Rouse,0,18045
Fountain,Donald J. Trump,6154,18045
Fountain,Howie Hawkins,2,18045
Fountain,James L Johnson Jr.,0,18045
Fountain,Jo Jorgensen,200,18045
Fountain,Joe Schriner,0,18045
Fountain,Joseph R. Biden,1629,18045
Fountain,Kasey Wells,0,18045
Fountain,Mitchell Williams,0,18045
Fountain,Randall F,0,18045
Fountain,Shawn Howard,0,18045
Fountain,Valerie Mccray,0,18045
Franklin,Abram Loeb,0,18047
Franklin,Brian Carroll,2,18047
Franklin,Christopher Stried,0,18047
Franklin,Deborah Rouse,0,18047
Franklin,Donald J. Trump,9691,18047
Franklin,Howie Hawkins,1,18047
Franklin,James L Johnson Jr.,0,18047
Franklin,Jo Jorgensen,169,18047
Franklin,Joe Schriner,0,18047
Franklin,Joseph R. Biden,2137,18047
Franklin,Kasey Wells,0,18047
Franklin,Mitchell Williams,0,18047
Franklin,Randall F,0,18047
Franklin,Shawn Howard,0,18047
Franklin,Valerie Mccray,0,18047
Fulton,Abram Loeb,0,18049
Fulton,Brian Carroll,0,18049
Fulton,Christopher Stried,0,18049
Fulton,Deborah Rouse,0,18049
Fulton,Donald J. Trump,6694,18049
Fulton,Howie Hawkins,3,18049
Fulton,James L Johnson Jr.,0,18049
Fulton,Jo Jorgensen,170,18049
Fulton,Joe Schriner,0,18049
Fulton,Joseph R. Biden,2280,18049
Fulton,Kasey Wells,0,18049
Fulton,Mitchell Williams,0,18049
Fulton,Randall F,0,18049
Fulton,Shawn Howard,0,18049
Fulton,Valerie Mccray,0,18049
Gibson,Abram Loeb,0,18051
Gibson,Brian Carroll,0,18051
Gibson,Christopher Stried,0,18051
Gibson,Deborah Rouse,0,18051
Gibson,Donald J. Trump,11817,18051
Gibson,Howie Hawkins,0,18051
Gibson,James L Johnson Jr.,0,18051
Gibson,Jo Jorgensen,321,18051
Gibson,Joe Schriner,0,18051
Gibson,Joseph R. Biden,4023,18051
Gibson,Kasey Wells,0,18051
Gibson,Mitchell Williams,0,18051
Gibson,Randall F,0,18051
Gibson,Shawn Howard,0,18051
Gibson,Valerie Mccray,0,18051
Grant,Abram Loeb,0,18053
Grant,Brian Carroll,12,18053
Grant,Christopher Stried,0,18053
Grant,Deborah Rouse,0,18053
Grant,Donald J. Trump,18543,18053
Grant,Howie Hawkins,4,18053
Grant,James L Johnson Jr.,0,18053
Grant,Jo Jorgensen,584,18053
