county,candidate,votes,fips
Decatur,Kasey Wells,0,47039
Decatur,Rocky De La Fuente,4,47039
Decatur,Tom Hoefling,0,47039
Dekalb,Alyson Kennedy,1,<function fips at 0x00000248CAAF3D80>
Dekalb,President R19 Boddie Stoneham,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Brian Carroll,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Don Blankenship,9,<function fips at 0x00000248CAAF3D80>
Dekalb,Donald J. Trump,6672,<function fips at 0x00000248CAAF3D80>
Dekalb,Gloria La Riva,2,<function fips at 0x00000248CAAF3D80>
Dekalb,Howie Hawkins,6,<function fips at 0x00000248CAAF3D80>
Dekalb,Jade Simmons,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Jo Jorgensen,60,<function fips at 0x00000248CAAF3D80>
Dekalb,Joseph R. Biden,1750,<function fips at 0x00000248CAAF3D80>
Dekalb,Kanye West,9,<function fips at 0x00000248CAAF3D80>
Dekalb,Kasey Wells,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Rocky De La Fuente,4,<function fips at 0x00000248CAAF3D80>
Dekalb,Tom Hoefling,0,<function fips at 0x00000248CAAF3D80>
Dickson,Alyson Kennedy,39,47043
Dickson,President R19 Boddie Stoneham,0,47043
Dickson,Brian Carroll,0,47043
Dickson,Don Blankenship,55,47043
Dickson,Donald J. Trump,17643,47043
Dickson,Gloria La Riva,29,47043
Dickson,Howie Hawkins,40,47043
Dickson,Jade Simmons,0,47043
Dickson,Jo Jorgensen,260,47043
Dickson,Joseph R. Biden,6106,47043
Dickson,Kanye West,134,47043
Dickson,Kasey Wells,0,47043
Dickson,Rocky De La Fuente,17,47043
Dickson,Tom Hoefling,0,47043
Dyer,Alyson Kennedy,9,47045
Dyer,President R19 Boddie Stoneham,0,47045
Dyer,Brian Carroll,1,47045
Dyer,Don Blankenship,16,47045
Dyer,Donald J. Trump,11768,47045
Dyer,Gloria La Riva,1,47045
Dyer,Howie Hawkins,7,47045
Dyer,Jade Simmons,1,47045
Dyer,Jo Jorgensen,96,47045
Dyer,Joseph R. Biden,3158,47045
Dyer,Kanye West,13,47045
Dyer,Kasey Wells,0,47045
Dyer,Rocky De La Fuente,9,47045
Dyer,Tom Hoefling,0,47045
Fayette,Alyson Kennedy,16,47047
Fayette,President R19 Boddie Stoneham,0,47047
Fayette,Brian Carroll,0,47047
Fayette,Don Blankenship,18,47047
Fayette,Donald J. Trump,15690,47047
Fayette,Gloria La Riva,7,47047
Fayette,Howie Hawkins,30,47047
Fayette,Jade Simmons,0,47047
Fayette,Jo Jorgensen,145,47047
Fayette,Joseph R. Biden,7027,47047
Fayette,Kanye West,42,47047
Fayette,Kasey Wells,0,47047
Fayette,Rocky De La Fuente,9,47047
Fayette,Tom Hoefling,0,47047
Fentress,Alyson Kennedy,2,47049
Fentress,President R19 Boddie Stoneham,0,47049
Fentress,Brian Carroll,0,47049
Fentress,Don Blankenship,18,47049
Fentress,Donald J. Trump,7441,47049
Fentress,Gloria La Riva,0,47049
Fentress,Howie Hawkins,6,47049
Fentress,Jade Simmons,0,47049
Fentress,Jo Jorgensen,36,47049
Fentress,Joseph R. Biden,1214,47049
Fentress,Kanye West,10,47049
Fentress,Kasey Wells,0,47049
Fentress,Rocky De La Fuente,2,47049
Fentress,Tom Hoefling,0,47049
Franklin,Alyson Kennedy,7,47051
Franklin,President R19 Boddie Stoneham,0,47051
Franklin,Brian Carroll,3,47051
Franklin,Don Blankenship,30,47051
Franklin,Donald J. Trump,13987,47051
Franklin,Gloria La Riva,8,47051
Franklin,Howie Hawkins,27,47051
Franklin,Jade Simmons,2,47051
Franklin,Jo Jorgensen,164,47051
Franklin,Joseph R. Biden,4864,47051
Franklin,Kanye West,33,47051
Franklin,Kasey Wells,0,47051
Franklin,Rocky De La Fuente,7,47051
Franklin,Tom Hoefling,0,47051
Gibson,Alyson Kennedy,15,47053
Gibson,President R19 Boddie Stoneham,0,47053
Gibson,Brian Carroll,6,47053
Gibson,Don Blankenship,48,47053
Gibson,Donald J. Trump,16259,47053
Gibson,Gloria La Riva,5,47053
Gibson,Howie Hawkins,32,47053
Gibson,Jade Simmons,0,47053
Gibson,Jo Jorgensen,160,47053
Gibson,Joseph R. Biden,5771,47053
Gibson,Kanye West,31,47053
Gibson,Kasey Wells,0,47053
Gibson,Rocky De La Fuente,8,47053
Gibson,Tom Hoefling,0,47053
Giles,Alyson Kennedy,3,47055
Giles,President R19 Boddie Stoneham,0,47055
Giles,Brian Carroll,0,47055
Giles,Don Blankenship,14,47055
Giles,Donald J. Trump,9784,47055
Giles,Gloria La Riva,2,47055
Giles,Howie Hawkins,9,47055
Giles,Jade Simmons,0,47055
Giles,Jo Jorgensen,68,47055
Giles,Joseph R. Biden,3298,47055
Giles,Kanye West,22,47055
Giles,Kasey Wells,0,47055
Giles,Rocky De La Fuente,3,47055
Giles,Tom Hoefling,0,47055
Grainger,Alyson Kennedy,2,47057
Grainger,President R19 Boddie Stoneham,0,47057
Grainger,Brian Carroll,1,47057
Grainger,Don Blankenship,12,47057
Grainger,Donald J. Trump,8565,47057
Grainger,Gloria La Riva,2,47057
Grainger,Howie Hawkins,9,47057
Grainger,Jade Simmons,0,47057
Grainger,Jo Jorgensen,61,47057
Grainger,Joseph R. Biden,1467,47057
Grainger,Kanye West,13,47057
Grainger,Kasey Wells,0,47057
Grainger,Rocky De La Fuente,2,47057
Grainger,Tom Hoefling,0,47057
Greene,Alyson Kennedy,58,47059
Greene,President R19 Boddie Stoneham,0,47059
Greene,Brian Carroll,0,47059
Greene,Don Blankenship,87,47059
Greene,Donald J. Trump,22259,47059
Greene,Gloria La Riva,23,47059
Greene,Howie Hawkins,64,47059
Greene,Jade Simmons,1,47059
Greene,Jo Jorgensen,205,47059
Greene,Joseph R. Biden,5199,47059
Greene,Kanye West,180,47059
Greene,Kasey Wells,0,47059
Greene,Rocky De La Fuente,11,47059
Greene,Tom Hoefling,0,47059
Grundy,Alyson Kennedy,1,47061
Grundy,President R19 Boddie Stoneham,0,47061
Grundy,Brian Carroll,0,47061
Grundy,Don Blankenship,11,47061
Grundy,Donald J. Trump,4802,47061
Grundy,Gloria La Riva,0,47061
Grundy,Howie Hawkins,9,47061
Grundy,Jade Simmons,0,47061
Grundy,Jo Jorgensen,34,47061
Grundy,Joseph R. Biden,988,47061
Grundy,Kanye West,6,47061
Grundy,Kasey Wells,0,47061
Grundy,Rocky De La Fuente,3,47061
Grundy,Tom Hoefling,1,47061
Hamblen,Alyson Kennedy,17,47063
Hamblen,President R19 Boddie Stoneham,0,47063
Hamblen,Brian Carroll,0,47063
Hamblen,Don Blankenship,33,47063
Hamblen,Donald J. Trump,18811,47063
Hamblen,Gloria La Riva,8,47063
Hamblen,Howie Hawkins,20,47063
Hamblen,Jade Simmons,0,47063
Hamblen,Jo Jorgensen,195,47063
Hamblen,Joseph R. Biden,5500,47063
Hamblen,Kanye West,37,47063
Hamblen,Kasey Wells,0,47063
Hamblen,Rocky De La Fuente,10,47063
Hamblen,Tom Hoefling,0,47063
Hamilton,Alyson Kennedy,66,47065
Hamilton,President R19 Boddie Stoneham,0,47065
Hamilton,Brian Carroll,87,47065
Hamilton,Don Blankenship,281,47065
Hamilton,Donald J. Trump,92108,47065
Hamilton,Gloria La Riva,62,47065
Hamilton,Howie Hawkins,273,47065
Hamilton,Jade Simmons,10,47065
Hamilton,Jo Jorgensen,2229,47065
Hamilton,Joseph R. Biden,75522,47065
Hamilton,Kanye West,393,47065
Hamilton,Kasey Wells,0,47065
Hamilton,Rocky De La Fuente,82,47065
Hamilton,Tom Hoefling,0,47065
Hancock,Alyson Kennedy,0,47067
Hancock,President R19 Boddie Stoneham,0,47067
Hancock,Brian Carroll,0,47067
Hancock,Don Blankenship,5,47067
Hancock,Donald J. Trump,2372,47067
Hancock,Gloria La Riva,0,47067
Hancock,Howie Hawkins,0,47067
Hancock,Jade Simmons,0,47067
Hancock,Jo Jorgensen,4,47067
Hancock,Joseph R. Biden,362,47067
Hancock,Kanye West,1,47067
Hancock,Kasey Wells,0,47067
Hancock,Rocky De La Fuente,0,47067
Hancock,Tom Hoefling,0,47067
Hardeman,Alyson Kennedy,11,47069
Hardeman,President R19 Boddie Stoneham,0,47069
Hardeman,Brian Carroll,0,47069
Hardeman,Don Blankenship,35,47069
Hardeman,Donald J. Trump,5760,47069
Hardeman,Gloria La Riva,6,47069
Hardeman,Howie Hawkins,8,47069
Hardeman,Jade Simmons,0,47069
Hardeman,Jo Jorgensen,40,47069
Hardeman,Joseph R. Biden,4180,47069
Hardeman,Kanye West,13,47069
Hardeman,Kasey Wells,0,47069
Hardeman,Rocky De La Fuente,7,47069
Hardeman,Tom Hoefling,3,47069
Hardin,Alyson Kennedy,28,47071
Hardin,President R19 Boddie Stoneham,0,47071
Hardin,Brian Carroll,0,47071
Hardin,Don Blankenship,28,47071
Hardin,Donald J. Trump,9559,47071
Hardin,Gloria La Riva,13,47071
Hardin,Howie Hawkins,6,47071
Hardin,Jade Simmons,0,47071
Hardin,Jo Jorgensen,52,47071
Hardin,Joseph R. Biden,1775,47071
Hardin,Kanye West,70,47071
Hardin,Kasey Wells,0,47071
Hardin,Rocky De La Fuente,7,47071
Hardin,Tom Hoefling,0,47071
Hawkins,Alyson Kennedy,10,47073
Hawkins,President R19 Boddie Stoneham,0,47073
Hawkins,Brian Carroll,0,47073
Hawkins,Don Blankenship,42,47073
Hawkins,Donald J. Trump,20405,47073
Hawkins,Gloria La Riva,8,47073
Hawkins,Howie Hawkins,26,47073
Hawkins,Jade Simmons,0,47073
Hawkins,Jo Jorgensen,208,47073
Hawkins,Joseph R. Biden,4083,47073
Hawkins,Kanye West,32,47073
Hawkins,Kasey Wells,0,47073
Hawkins,Rocky De La Fuente,10,47073
Hawkins,Tom Hoefling,0,47073
Haywood,Alyson Kennedy,7,47075
Haywood,President R19 Boddie Stoneham,0,47075
Haywood,Brian Carroll,1,47075
Haywood,Don Blankenship,15,47075
Haywood,Donald J. Trump,3343,47075
Haywood,Gloria La Riva,3,47075
Haywood,Howie Hawkins,7,47075
Haywood,Jade Simmons,1,47075
Haywood,Jo Jorgensen,31,47075
Haywood,Joseph R. Biden,4012,47075
Haywood,Kanye West,15,47075
Haywood,Kasey Wells,0,47075
Haywood,Rocky De La Fuente,4,47075
Haywood,Tom Hoefling,0,47075
Henderson,Alyson Kennedy,7,47077
Henderson,President R19 Boddie Stoneham,0,47077
Henderson,Brian Carroll,0,47077
Henderson,Don Blankenship,17,47077
Henderson,Donald J. Trump,9797,47077
Henderson,Gloria La Riva,3,47077
Henderson,Howie Hawkins,6,47077
Henderson,Jade Simmons,0,47077
Henderson,Jo Jorgensen,80,47077
Henderson,Joseph R. Biden,2092,47077
Henderson,Kanye West,14,47077
Henderson,Kasey Wells,0,47077
Henderson,Rocky De La Fuente,4,47077
Henderson,Tom Hoefling,0,47077
Henry,Alyson Kennedy,7,47079
Henry,President R19 Boddie Stoneham,0,47079
Henry,Brian Carroll,2,47079
Henry,Don Blankenship,25,47079
Henry,Donald J. Trump,11239,47079
Henry,Gloria La Riva,5,47079
Henry,Howie Hawkins,20,47079
Henry,Jade Simmons,0,47079
Henry,Jo Jorgensen,164,47079
Henry,Joseph R. Biden,3548,47079
Henry,Kanye West,24,47079
Henry,Kasey Wells,0,47079
Henry,Rocky De La Fuente,12,47079
Henry,Tom Hoefling,1,47079
Hickman,Alyson Kennedy,4,47081
Hickman,President R19 Boddie Stoneham,0,47081
Hickman,Brian Carroll,0,47081
Hickman,Don Blankenship,15,47081
Hickman,Donald J. Trump,7577,47081
Hickman,Gloria La Riva,4,47081
Hickman,Howie Hawkins,6,47081
Hickman,Jade Simmons,0,47081
Hickman,Jo Jorgensen,74,47081
Hickman,Joseph R. Biden,2130,47081
Hickman,Kanye West,17,47081
Hickman,Kasey Wells,0,47081
Hickman,Rocky De La Fuente,5,47081
Hickman,Tom Hoefling,0,47081
Houston,Alyson Kennedy,13,47083
Houston,President R19 Boddie Stoneham,0,47083
Houston,Brian Carroll,0,47083
Houston,Don Blankenship,14,47083
Houston,Donald J. Trump,2718,47083
Houston,Gloria La Riva,8,47083
Houston,Howie Hawkins,3,47083
Houston,Jade Simmons,0,47083
Houston,Jo Jorgensen,18,47083
Houston,Joseph R. Biden,871,47083
Houston,Kanye West,38,47083
Houston,Kasey Wells,0,47083
Houston,Rocky De La Fuente,3,47083
Houston,Tom Hoefling,0,47083
Humphreys,Alyson Kennedy,2,47085
Humphreys,President R19 Boddie Stoneham,0,47085
Humphreys,Brian Carroll,0,47085
Humphreys,Don Blankenship,20,47085
Humphreys,Donald J. Trump,6120,47085
Humphreys,Gloria La Riva,1,47085
Humphreys,Howie Hawkins,14,47085
Humphreys,Jade Simmons,0,47085
Humphreys,Jo Jorgensen,46,47085
Humphreys,Joseph R. Biden,2017,47085
Humphreys,Kanye West,14,47085
Humphreys,Kasey Wells,0,47085
Humphreys,Rocky De La Fuente,2,47085
Humphreys,Tom Hoefling,0,47085
Jackson,Alyson Kennedy,5,47087
Jackson,President R19 Boddie Stoneham,0,47087
Jackson,Brian Carroll,1,47087
Jackson,Don Blankenship,4,47087
Jackson,Donald J. Trump,4118,47087
Jackson,Gloria La Riva,0,47087
Jackson,Howie Hawkins,3,47087
Jackson,Jade Simmons,0,47087
Jackson,Jo Jorgensen,48,47087
Jackson,Joseph R. Biden,1135,47087
Jackson,Kanye West,6,47087
Jackson,Kasey Wells,0,47087
Jackson,Rocky De La Fuente,3,47087
Jackson,Tom Hoefling,0,47087
Jefferson,Alyson Kennedy,10,47089
Jefferson,President R19 Boddie Stoneham,0,47089
Jefferson,Brian Carroll,3,47089
Jefferson,Don Blankenship,45,47089
Jefferson,Donald J. Trump,18651,47089
Jefferson,Gloria La Riva,3,47089
Jefferson,Howie Hawkins,20,47089
Jefferson,Jade Simmons,0,47089
Jefferson,Jo Jorgensen,184,47089
Jefferson,Joseph R. Biden,4654,47089
Jefferson,Kanye West,35,47089
Jefferson,Kasey Wells,0,47089
Jefferson,Rocky De La Fuente,11,47089
Jefferson,Tom Hoefling,0,47089
