fips,county,candidate,votes
46105,Perkins,Joseph R. Biden,16
46105,Perkins,Dean Phillips,6
46105,Perkins,Amando Perez-Serrato,5
46107,Potter,Marianne Williamson,3
46107,Potter,Joseph R. Biden,21
46107,Potter,Dean Phillips,6
46107,Potter,Amando Perez-Serrato,2
46109,Roberts,Marianne Williamson,19
46109,Roberts,Joseph R. Biden,184
46109,Roberts,Dean Phillips,38
46109,Roberts,Amando Perez-Serrato,15
46111,Sanborn,Marianne Williamson,3
46111,Sanborn,Joseph R. Biden,24
46111,Sanborn,Dean Phillips,3
46111,Sanborn,Amando Perez-Serrato,1
46113,Oglala Lakota,Marianne Williamson,41
46113,Oglala Lakota,Joseph R. Biden,244
46113,Oglala Lakota,Dean Phillips,6
46113,Oglala Lakota,Amando Perez-Serrato,43
46115,Spink,Marianne Williamson,17
46115,Spink,Joseph R. Biden,75
46115,Spink,Dean Phillips,15
46115,Spink,Amando Perez-Serrato,1
46117,Stanley,Marianne Williamson,4
46117,Stanley,Joseph R. Biden,48
46117,Stanley,Dean Phillips,7
46117,Stanley,Amando Perez-Serrato,0
46119,Sully,Marianne Williamson,8
46119,Sully,Joseph R. Biden,44
46119,Sully,Dean Phillips,6
46119,Sully,Amando Perez-Serrato,3
46121,Todd,Marianne Williamson,38
46121,Todd,Joseph R. Biden,234
46121,Todd,Dean Phillips,10
46121,Todd,Amando Perez-Serrato,20
46123,Tripp,Marianne Williamson,17
46123,Tripp,Joseph R. Biden,80
46123,Tripp,Dean Phillips,13
46123,Tripp,Amando Perez-Serrato,6
46125,Turner,Marianne Williamson,42
46125,Turner,Joseph R. Biden,121
46125,Turner,Dean Phillips,40
46125,Turner,Amando Perez-Serrato,16
46127,Union,Marianne Williamson,41
46127,Union,Joseph R. Biden,213
46127,Union,Dean Phillips,37
46127,Union,Amando Perez-Serrato,11
46129,Walworth,Marianne Williamson,10
46129,Walworth,Joseph R. Biden,27
46129,Walworth,Dean Phillips,8
46129,Walworth,Amando Perez-Serrato,2
46135,Yankton,Marianne Williamson,41
46135,Yankton,Joseph R. Biden,294
46135,Yankton,Dean Phillips,31
46135,Yankton,Amando Perez-Serrato,23
46137,Ziebach,Marianne Williamson,13
46137,Ziebach,Joseph R. Biden,41
46137,Ziebach,Dean Phillips,2
46137,Ziebach,Amando Perez-Serrato,3
