fips,county,candidate,votes
,Fayette,Rocky De La Fuente,10
,Fayette,Don Blankenship,16
,Fayette,Ricki Sue King,5
,Fayette,Howie Hawkins,27
,Fayette,Jo Jorgensen,102
,Fayette,Brock Pierce,1
,Fayette,Kanye West,16
,Fayette,Write-in,29
,Fayette,Undervotes,47
,Fayette,Overvotes,16
,Floyd,Donald J. Trump,4732
,Floyd,Joseph R. Biden,3172
,Floyd,Rocky De La Fuente,7
,Floyd,Don Blankenship,12
,Floyd,Ricki Sue King,3
,Floyd,Howie Hawkins,10
,Floyd,Jo Jorgensen,63
,Floyd,Brock Pierce,6
,Floyd,Kanye West,12
,Floyd,Write-in,15
,Floyd,Undervotes,43
,Floyd,Overvotes,6
,Franklin,Donald J. Trump,3422
,Franklin,Joseph R. Biden,1626
,Franklin,Rocky De La Fuente,8
,Franklin,Don Blankenship,6
,Franklin,Ricki Sue King,3
,Franklin,Howie Hawkins,5
,Franklin,Jo Jorgensen,45
,Franklin,Brock Pierce,1
,Franklin,Kanye West,3
,Franklin,Write-in,11
,Franklin,Undervotes,37
,Franklin,Overvotes,11
,Fremont,Donald J. Trump,2711
,Fremont,Joseph R. Biden,1080
,Fremont,Rocky De La Fuente,0
,Fremont,Don Blankenship,5
,Fremont,Ricki Sue King,2
,Fremont,Howie Hawkins,6
,Fremont,Jo Jorgensen,37
,Fremont,Brock Pierce,0
,Fremont,Kanye West,10
,Fremont,Write-in,6
,Fremont,Undervotes,27
,Fremont,Overvotes,5
,Greene,Donald J. Trump,3223
,Greene,Joseph R. Biden,1769
,Greene,Rocky De La Fuente,4
,Greene,Don Blankenship,5
,Greene,Ricki Sue King,4
,Greene,Howie Hawkins,4
,Greene,Jo Jorgensen,36
,Greene,Brock Pierce,1
,Greene,Kanye West,5
,Greene,Write-in,6
,Greene,Undervotes,20
,Greene,Overvotes,7
,Grundy,Donald J. Trump,4929
,Grundy,Joseph R. Biden,2206
,Grundy,Rocky De La Fuente,0
,Grundy,Don Blankenship,7
,Grundy,Ricki Sue King,2
,Grundy,Howie Hawkins,12
,Grundy,Jo Jorgensen,87
,Grundy,Brock Pierce,10
,Grundy,Kanye West,7
,Grundy,Write-in,16
,Grundy,Undervotes,32
,Grundy,Overvotes,5
,Guthrie,Donald J. Trump,4272
,Guthrie,Joseph R. Biden,1985
,Guthrie,Rocky De La Fuente,1
,Guthrie,Don Blankenship,6
,Guthrie,Ricki Sue King,0
,Guthrie,Howie Hawkins,7
,Guthrie,Jo Jorgensen,79
,Guthrie,Brock Pierce,1
,Guthrie,Kanye West,12
,Guthrie,Write-in,8
,Guthrie,Undervotes,22
,Guthrie,Overvotes,7
,Hamilton,Donald J. Trump,4956
,Hamilton,Joseph R. Biden,2843
,Hamilton,Rocky De La Fuente,7
,Hamilton,Don Blankenship,6
,Hamilton,Ricki Sue King,5
,Hamilton,Howie Hawkins,7
,Hamilton,Jo Jorgensen,71
,Hamilton,Brock Pierce,11
,Hamilton,Kanye West,11
,Hamilton,Write-in,26
,Hamilton,Undervotes,27
,Hamilton,Overvotes,10
,Hancock,Donald J. Trump,4390
,Hancock,Joseph R. Biden,1683
,Hancock,Rocky De La Fuente,8
,Hancock,Don Blankenship,9
,Hancock,Ricki Sue King,4
,Hancock,Howie Hawkins,7
,Hancock,Jo Jorgensen,49
,Hancock,Brock Pierce,0
,Hancock,Kanye West,11
,Hancock,Write-in,11
,Hancock,Undervotes,24
,Hancock,Overvotes,12
,Hardin,Donald J. Trump,5850
,Hardin,Joseph R. Biden,2976
,Hardin,Rocky De La Fuente,5
,Hardin,Don Blankenship,10
,Hardin,Ricki Sue King,3
,Hardin,Howie Hawkins,11
,Hardin,Jo Jorgensen,105
,Hardin,Brock Pierce,3
,Hardin,Kanye West,12
,Hardin,Write-in,14
,Hardin,Undervotes,30
,Hardin,Overvotes,10
,Harrison,Donald J. Trump,5569
,Harrison,Joseph R. Biden,2440
,Harrison,Rocky De La Fuente,6
,Harrison,Don Blankenship,10
,Harrison,Ricki Sue King,5
,Harrison,Howie Hawkins,9
,Harrison,Jo Jorgensen,85
,Harrison,Brock Pierce,1
,Harrison,Kanye West,19
,Harrison,Write-in,11
,Harrison,Undervotes,27
,Harrison,Overvotes,10
,Henry,Donald J. Trump,6507
,Henry,Joseph R. Biden,3275
,Henry,Rocky De La Fuente,7
,Henry,Don Blankenship,8
,Henry,Ricki Sue King,8
,Henry,Howie Hawkins,15
,Henry,Jo Jorgensen,128
,Henry,Brock Pierce,3
,Henry,Kanye West,13
,Henry,Write-in,18
,Henry,Undervotes,49
,Henry,Overvotes,12
,Howard,Donald J. Trump,3127
,Howard,Joseph R. Biden,1772
,Howard,Rocky De La Fuente,1
,Howard,Don Blankenship,6
,Howard,Ricki Sue King,2
,Howard,Howie Hawkins,10
,Howard,Jo Jorgensen,23
,Howard,Brock Pierce,0
,Howard,Kanye West,11
,Howard,Write-in,6
,Howard,Undervotes,29
,Howard,Overvotes,9
,Humboldt,Donald J. Trump,3819
,Humboldt,Joseph R. Biden,1442
,Humboldt,Rocky De La Fuente,3
,Humboldt,Don Blankenship,6
,Humboldt,Ricki Sue King,1
,Humboldt,Howie Hawkins,4
,Humboldt,Jo Jorgensen,39
,Humboldt,Brock Pierce,0
,Humboldt,Kanye West,7
,Humboldt,Write-in,6
,Humboldt,Undervotes,21
,Humboldt,Overvotes,5
,Ida,Donald J. Trump,2880
,Ida,Joseph R. Biden,917
,Ida,Rocky De La Fuente,0
,Ida,Don Blankenship,10
,Ida,Ricki Sue King,0
,Ida,Howie Hawkins,6
,Ida,Jo Jorgensen,27
,Ida,Brock Pierce,1
,Ida,Kanye West,3
,Ida,Write-in,5
,Ida,Undervotes,17
,Ida,Overvotes,4
,Iowa,Donald J. Trump,6009
,Iowa,Joseph R. Biden,3547
,Iowa,Rocky De La Fuente,9
,Iowa,Don Blankenship,11
,Iowa,Ricki Sue King,1
,Iowa,Howie Hawkins,15
,Iowa,Jo Jorgensen,102
,Iowa,Brock Pierce,3
,Iowa,Kanye West,19
,Iowa,Write-in,26
,Iowa,Undervotes,57
,Iowa,Overvotes,9
,Jackson,Donald J. Trump,6940
,Jackson,Joseph R. Biden,4029
,Jackson,Rocky De La Fuente,12
,Jackson,Don Blankenship,9
,Jackson,Ricki Sue King,6
,Jackson,Howie Hawkins,13
,Jackson,Jo Jorgensen,79
,Jackson,Brock Pierce,4
,Jackson,Kanye West,26
,Jackson,Write-in,17
,Jackson,Undervotes,73
,Jackson,Overvotes,19
,Jasper,Donald J. Trump,12084
,Jasper,Joseph R. Biden,7737
,Jasper,Rocky De La Fuente,11
,Jasper,Don Blankenship,29
,Jasper,Ricki Sue King,7
,Jasper,Howie Hawkins,30
,Jasper,Jo Jorgensen,207
,Jasper,Brock Pierce,7
,Jasper,Kanye West,31
,Jasper,Write-in,41
,Jasper,Undervotes,81
,Jasper,Overvotes,24
,Jefferson,Donald J. Trump,4443
,Jefferson,Joseph R. Biden,4319
,Jefferson,Rocky De La Fuente,5
,Jefferson,Don Blankenship,7
,Jefferson,Ricki Sue King,1
,Jefferson,Howie Hawkins,32
,Jefferson,Jo Jorgensen,95
,Jefferson,Brock Pierce,4
,Jefferson,Kanye West,20
,Jefferson,Write-in,33
,Jefferson,Undervotes,36
,Jefferson,Overvotes,14
,Johnson,Donald J. Trump,22925
,Johnson,Joseph R. Biden,59177
,Johnson,Rocky De La Fuente,22
,Johnson,Don Blankenship,62
,Johnson,Ricki Sue King,19
,Johnson,Howie Hawkins,213
,Johnson,Jo Jorgensen,964
,Johnson,Brock Pierce,18
,Johnson,Kanye West,170
,Johnson,Write-in,281
,Johnson,Undervotes,254
,Johnson,Overvotes,93
,Jones,Donald J. Trump,6572
,Jones,Joseph R. Biden,4213
,Jones,Rocky De La Fuente,7
,Jones,Don Blankenship,12
,Jones,Ricki Sue King,5
,Jones,Howie Hawkins,15
,Jones,Jo Jorgensen,118
,Jones,Brock Pierce,3
,Jones,Kanye West,20
,Jones,Write-in,24
,Jones,Undervotes,60
,Jones,Overvotes,9
,Keokuk,Donald J. Trump,3797
,Keokuk,Joseph R. Biden,1414
,Keokuk,Rocky De La Fuente,7
,Keokuk,Don Blankenship,10
,Keokuk,Ricki Sue King,2
,Keokuk,Howie Hawkins,2
,Keokuk,Jo Jorgensen,51
,Keokuk,Brock Pierce,2
,Keokuk,Kanye West,6
,Keokuk,Write-in,12
,Keokuk,Undervotes,31
,Keokuk,Overvotes,4
,Kossuth,Donald J. Trump,6275
,Kossuth,Joseph R. Biden,2696
,Kossuth,Rocky De La Fuente,4
,Kossuth,Don Blankenship,10
,Kossuth,Ricki Sue King,2
,Kossuth,Howie Hawkins,10
,Kossuth,Jo Jorgensen,61
,Kossuth,Brock Pierce,4
,Kossuth,Kanye West,15
,Kossuth,Write-in,13
,Kossuth,Undervotes,40
,Kossuth,Overvotes,9
,Lee,Donald J. Trump,9773
,Lee,Joseph R. Biden,6541
,Lee,Rocky De La Fuente,8
,Lee,Don Blankenship,31
,Lee,Ricki Sue King,9
,Lee,Howie Hawkins,34
,Lee,Jo Jorgensen,240
,Lee,Brock Pierce,25
,Lee,Kanye West,38
,Lee,Write-in,35
,Lee,Undervotes,63
,Lee,Overvotes,32
,Linn,Donald J. Trump,53364
,Linn,Joseph R. Biden,70874
,Linn,Rocky De La Fuente,48
,Linn,Don Blankenship,117
,Linn,Ricki Sue King,34
,Linn,Howie Hawkins,325
,Linn,Jo Jorgensen,2015
,Linn,Brock Pierce,36
,Linn,Kanye West,265
,Linn,Write-in,380
,Linn,Undervotes,429
,Linn,Overvotes,149
,Louisa,Donald J. Trump,3500
,Louisa,Joseph R. Biden,1726
,Louisa,Rocky De La Fuente,3
,Louisa,Don Blankenship,5
,Louisa,Ricki Sue King,3
,Louisa,Howie Hawkins,5
,Louisa,Jo Jorgensen,67
,Louisa,Brock Pierce,5
,Louisa,Kanye West,12
,Louisa,Write-in,6
,Louisa,Undervotes,21
,Louisa,Overvotes,19
,Lucas,Donald J. Trump,3287
,Lucas,Joseph R. Biden,1284
,Lucas,Rocky De La Fuente,1
,Lucas,Don Blankenship,5
,Lucas,Ricki Sue King,3
,Lucas,Howie Hawkins,6
,Lucas,Jo Jorgensen,30
,Lucas,Brock Pierce,2
,Lucas,Kanye West,4
,Lucas,Write-in,8
,Lucas,Undervotes,11
,Lucas,Overvotes,7
,Lyon,Donald J. Trump,5707
,Lyon,Joseph R. Biden,1067
,Lyon,Rocky De La Fuente,1
,Lyon,Don Blankenship,4
,Lyon,Ricki Sue King,0
,Lyon,Howie Hawkins,6
,Lyon,Jo Jorgensen,56
,Lyon,Brock Pierce,0
,Lyon,Kanye West,11
,Lyon,Write-in,11
,Lyon,Undervotes,52
,Lyon,Overvotes,9
,Madison,Donald J. Trump,6507
,Madison,Joseph R. Biden,3134
,Madison,Rocky De La Fuente,7
,Madison,Don Blankenship,6
,Madison,Ricki Sue King,2
,Madison,Howie Hawkins,12
,Madison,Jo Jorgensen,124
,Madison,Brock Pierce,5
,Madison,Kanye West,9
,Madison,Write-in,18
,Madison,Undervotes,25
,Madison,Overvotes,4
,Mahaska,Donald J. Trump,8297
,Mahaska,Joseph R. Biden,2894
,Mahaska,Rocky De La Fuente,8
,Mahaska,Don Blankenship,10
,Mahaska,Ricki Sue King,2
