contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_party4,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,"Bonneville ",186
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,"Bonneville ",259
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Boundary,6313
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Boundary,6313
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Boundary,4937
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Boundary,1220
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Boundary,29
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Boundary,14
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Jo Jorgensen",0,Libertarian,,,,,County,Boundary,82
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,Boundary,16
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,Boundary,15
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Butte,1415
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Butte,1415
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Butte,1202
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Butte,188
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Butte,5
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Butte,2
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Jo Jorgensen",0,Libertarian,,,,,County,Butte,11
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,Butte,2
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,Butte,5
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Camas,674
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Camas,674
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Camas,507
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Camas,149
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Camas,3
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Camas,2
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Jo Jorgensen",0,Libertarian,,,,,County,Camas,7
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,Camas,3
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,Camas,3
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Canyon,90410
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Canyon,90410
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Canyon,61759
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Canyon,25881
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Canyon,197
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Canyon,230
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Jo Jorgensen",0,Libertarian,,,,,County,Canyon,1696
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,Canyon,305
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,Canyon,342
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Caribou,3416
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Caribou,3416
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Caribou,2906
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Caribou,431
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Caribou,11
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Caribou,5
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Jo Jorgensen",0,Libertarian,,,,,County,Caribou,41
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Brock Pierce",0,Independent,,,,,County,Caribou,12
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Kanye West",0,Independent,,,,,County,Caribou,10
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Ballots Cast",1,,,,,,County,Cassia,9629
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Total Votes Cast",1,,,,,,County,Cassia,9629
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Donald J. Trump",0,Republican,,,,,County,Cassia,7907
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Joseph R. Biden",0,Democratic,,,,,County,Cassia,1464
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Don Blankenship",0,Constitutional,,,,,County,Cassia,38
5723,"2020-11-03 00:00:00",General,,0,,,,,President,State,Idaho,"Rocky ""Rocky"" De La Fuente",0,Independent,,,,,County,Cassia,26
